locus_id,Atypical_Bm_ITGAX,Bn_IFIT3,Bn_IL6,Bn_TCL1A,CD4_CTL_GZMH,CD4_Tcm_CXCR5,CD4_Tcm_IFI44L,CD4_Tem_CCR7neg,CD4_Tfh-like_CXCR5,CD4_Th1-like_GZMK,CD4_Th17-like_RORC,CD4_Th22-like_CCR10,CD4_Th_CCR4,CD4_Th_CR1,CD4_Th_LMNA,CD4_Th_TNFRSF11A,CD4_Tn_CCR7,CD4_Tn_CXCR5,CD4_Tn_LIMS1,CD4_Tn_SOX4,CD4_Tr1_IL10,CD4_Treg_FCRL3,CD4_Treg_FOXP3,CD8_CTL_GZMB,CD8_CTL_GZMK,CD8_CTL_IFI44L,CD8_Tcm_IFI44L,CD8_Tem_CCR7neg,CD8_Tn_CCR7,CD8_Tn_SOX4,DC1_CLEC9A,DC2_CD1C,DC_CSF2RA,HSPC_CD34,ILC2_IL2RA,Immature_T_CABP4,MAIT_SLC4A10,MK_GP9,Mature_NK_dim_FCGR3A,NKT_IFNG,NKT_NCR1,NK_bright_XCL1,Plasma_IGHA1,Plasma_IGHG1,Plasmablast_MKI67,Proliferative_NK_MKI67,Proliferative_T_MKI67,Switched_Bm_IGHDneg,Switched_Bm_IGHE,Switched_activated_Bm_CD86,Terminal_NK_dim_CD160neg,Transitional_B_MME,Transitional_NK_GZMK,Unswitched_Bm_CD1C,Unswitched_Bm_IL6,cMono_CD14,cMono_CXCL10,cMono_IFI44L,cMono_IL1B,gdT1_TRDV1,gdT2_GZMH,gdT2_GZMK,gdT2_IL12RB2,intMono_GFRA2,ncMono_C1QA,ncMono_FCGR3A,ncMono_IFIT1,pDC_IRF4,pre-Switched_Bm_JAM3
AD_locus_1,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
AD_locus_10,2.0,0.0,0.0,9.0,5.0,10.0,4.0,8.0,12.0,9.0,11.0,2.0,5.0,0.0,3.0,6.0,18.0,4.0,3.0,3.0,3.0,9.0,5.0,12.0,8.0,1.0,6.0,11.0,14.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,10.0,3.0,11.0,1.0,9.0,2.0,1.0,0.0,2.0,2.0,3.0,6.0,3.0,6.0,3.0,3.0,6.0,4.0,0.0,9.0,0.0,3.0,4.0,1.0,6.0,3.0,8.0,1.0,7.0,7.0,0.0,2.0,5.0
AD_locus_11,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,3.0,1.0
AD_locus_12,0.0,0.0,0.0,3.0,1.0,1.0,0.0,2.0,3.0,4.0,3.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,2.0,3.0,0.0,2.0,0.0
AD_locus_13,0.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0
AD_locus_14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0
AD_locus_15,1.0,0.0,0.0,2.0,1.0,2.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,3.0,5.0,0.0,2.0,1.0,0.0,1.0,1.0,3.0,2.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,2.0,4.0,0.0,2.0,1.0
AD_locus_16,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
AD_locus_17,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
AD_locus_18,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AD_locus_19,1.0,0.0,0.0,3.0,0.0,4.0,0.0,3.0,5.0,3.0,2.0,2.0,2.0,0.0,2.0,3.0,7.0,1.0,1.0,1.0,0.0,2.0,3.0,4.0,1.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0
AD_locus_2,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
AD_locus_20,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
AD_locus_21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AD_locus_23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
